run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0061,0.5438237190246582,0.3036386966705322,1.0,0.1,0.5,0.2,1.2,0.8177497722858333,,60,2025-10-28T00:31:11.909165+00:00,2025-10-28T00:31:12.729414+00:00,0.820233,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0062,0.2847090363502502,0.1372697204351425,1.0,0.1,0.5,0.2,1.2,0.542048457619744,,61,2025-10-28T00:31:12.731304+00:00,2025-10-28T00:31:13.277911+00:00,0.546595,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0063,0.5207439661026001,0.1877057701349258,1.0,0.1,0.5,0.2,1.2,0.7650330710023446,,62,2025-10-28T00:31:13.279240+00:00,2025-10-28T00:31:14.048908+00:00,0.769653,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0064,0.4347671270370483,0.156630128622055,1.0,0.1,0.5,0.2,1.2,0.6914476626365054,,63,2025-10-28T00:31:14.050171+00:00,2025-10-28T00:31:14.745161+00:00,0.694977,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0065,0.4397332370281219,0.1553907096385955,1.0,0.1,0.5,0.2,1.2,0.689598812731349,,64,2025-10-28T00:31:14.747001+00:00,2025-10-28T00:31:15.437402+00:00,0.690388,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0066,0.4663052260875702,0.1848688423633575,1.0,0.1,0.5,0.2,1.2,0.7250082964958395,,65,2025-10-28T00:31:15.440603+00:00,2025-10-28T00:31:16.169764+00:00,0.729147,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0067,0.431851178407669,0.2360799759626388,1.0,0.1,0.5,0.2,1.2,0.7099915718785291,,66,2025-10-28T00:31:16.171660+00:00,2025-10-28T00:31:16.886058+00:00,0.714386,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0068,0.0887433364987373,0.0682785063982009,1.0,0.1,0.5,0.2,1.2,0.3344119255641012,,67,2025-10-28T00:31:16.887083+00:00,2025-10-28T00:31:17.222242+00:00,0.335153,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0069,0.3195585608482361,0.1461243331432342,1.0,0.1,0.5,0.2,1.2,0.536466622988473,,68,2025-10-28T00:31:17.223145+00:00,2025-10-28T00:31:17.763356+00:00,0.540198,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0070,0.2333875149488449,0.0780024081468582,1.0,0.1,0.5,0.2,1.2,0.4572049536587687,,69,2025-10-28T00:31:17.764171+00:00,2025-10-28T00:31:18.225760+00:00,0.461574,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0071,0.2779571712017059,0.1480393409729004,1.0,0.1,0.5,0.2,1.2,0.5092633207827432,,70,2025-10-28T00:31:18.229632+00:00,2025-10-28T00:31:18.739714+00:00,0.510071,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0072,0.3743412494659424,0.1158145889639854,1.0,0.1,0.5,0.2,1.2,0.5970021560244474,,71,2025-10-28T00:31:18.742066+00:00,2025-10-28T00:31:19.348891+00:00,0.606817,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0073,0.2612625062465668,0.1474516540765762,1.0,0.1,0.5,0.2,1.2,0.5063354122817629,,72,2025-10-28T00:31:19.349824+00:00,2025-10-28T00:31:19.860114+00:00,0.510276,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0074,0.2427713721990585,0.1014138013124466,1.0,0.1,0.5,0.2,1.2,0.468248683445344,,73,2025-10-28T00:31:19.861917+00:00,2025-10-28T00:31:20.335027+00:00,0.4731,opencv,w3 baseline run
