run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0088,0.3123221695423126,0.08944632112979889,1.0,0.1,0.5,0.2,1.2,0.5328947949664683,,87
2021_g1.0_e0.1_l0.5,ncaf_2021_0089,0.5520166158676147,0.28308939933776855,1.0,0.1,0.5,0.2,1.2,0.8308426985700558,,88
2021_g1.0_e0.1_l0.5,ncaf_2021_0090,0.5623931288719177,0.326330304145813,1.0,0.1,0.5,0.2,1.2,0.8827680642242021,,89
2021_g1.0_e0.1_l0.5,ncaf_2021_0091,0.2515704333782196,0.09701497852802277,1.0,0.1,0.5,0.2,1.2,0.5057025052773947,,90
2021_g1.0_e0.1_l0.5,ncaf_2021_0092,0.39380091428756714,0.07556338608264923,1.0,0.1,0.5,0.2,1.2,0.6046650842070793,,91
2021_g1.0_e0.1_l0.5,ncaf_2021_0093,0.17101983726024628,0.08142305165529251,1.0,0.1,0.5,0.2,1.2,0.4081493744269695,,92
2021_g1.0_e0.1_l0.5,ncaf_2021_0094,0.18517114222049713,0.07973404228687286,1.0,0.1,0.5,0.2,1.2,0.40125590886626467,,93
2021_g1.0_e0.1_l0.5,ncaf_2021_0095,0.5904136300086975,0.3278505206108093,1.0,0.1,0.5,0.2,1.2,0.8728968061003034,,94
2021_g1.0_e0.1_l0.5,ncaf_2021_0096,0.28491470217704773,0.130060613155365,1.0,0.1,0.5,0.2,1.2,0.5446769281376188,,95
2021_g1.0_e0.1_l0.5,ncaf_2021_0097,0.20208044350147247,0.14056748151779175,1.0,0.1,0.5,0.2,1.2,0.4420425085559749,,96
2021_g1.0_e0.1_l0.5,ncaf_2021_0098,0.429050087928772,0.14300520718097687,1.0,0.1,0.5,0.2,1.2,0.6508805179396847,,97
2021_g1.0_e0.1_l0.5,ncaf_2021_0099,0.5892406105995178,0.30730849504470825,1.0,0.1,0.5,0.2,1.2,0.8895380292025802,,98
2021_g1.0_e0.1_l0.5,ncaf_2021_0100,0.30270621180534363,0.14791248738765717,1.0,0.1,0.5,0.2,1.2,0.5687046264891201,,99
2021_g1.0_e0.1_l0.5,ncaf_2021_0101,0.21521379053592682,0.08906884491443634,1.0,0.1,0.5,0.2,1.2,0.44564704169833946,,100
2021_g1.0_e0.1_l0.5,ncaf_2021_0102,1.0,0.5116176605224609,1.0,0.1,0.5,0.2,1.2,1.4098521912589714,,101
